customer_id,customer_name,order_date,quantity,price,total_spent,days_since_purchase,purchase_count
C001,Acme Corp,2026-04-01,150,25.00,3750,5,45
C002,Tech Solutions,2026-03-28,100,20.00,2000,9,32
C003,Global Industries,2026-02-10,50,15.00,750,51,8
C004,Innovation Labs,2026-04-02,200,30.00,6000,3,52
C005,Future Systems,2025-10-15,25,10.00,250,135,2
C006,Digital Experts,2026-03-15,120,18.00,2160,28,18
C007,Cloud Partners,2026-03-30,180,22.00,3960,9,38
C008,Smart Tech,2026-02-20,80,16.00,1280,42,12
C009,Network Plus,2026-01-10,40,14.00,560,81,5
C010,Data Insights,2026-04-01,160,24.00,3840,5,48
C011,Business First,2026-03-25,110,19.00,2090,10,35
C012,Growth Partners,2026-02-05,60,17.00,1020,56,7
C013,Quality Services,2026-03-30,175,21.00,3675,9,41
C014,Market Leaders,2026-01-20,45,13.00,585,72,6
C015,Innovation Plus,2026-04-02,190,26.00,4940,3,50
